Name,Status,Description,Priviledge
CVE-1999-0149,Entry,The wrap CGI program in IRIX allows remote attackers to view arbitrary directory listings via a .. (dot dot) attack.,user
CVE-1999-0150,Entry,The Perl fingerd program allows arbitrary command execution from remote users.,user
CVE-1999-0151,Entry,"The SATAN session key may be disclosed if the user points the web browser to other sites, possibly allowing root access.",root
CVE-1999-0152,Entry,The DG/UX finger daemon allows remote command execution through shell metacharacters.,user
CVE-1999-0153,Entry,"Windows 95/NT out of band (OOB) data denial of service through NETBIOS port, aka WinNuke.",user
CVE-1999-0155,Entry,The ghostscript command with the -dSAFER option allows remote attackers to execute commands.,user
CVE-1999-0157,Entry,Cisco PIX firewall and CBAC IP fragmentation attack results in a denial of service.,user
CVE-1999-0158,Entry,Cisco PIX firewall manager (PFM) on Windows NT allows attackers to connect to port 8080 on the PFM server and retrieve any file whose name and location is known.,user
CVE-1999-0159,Entry,"Attackers can crash a Cisco IOS router or device, provided they can get to an interactive prompt (such as a login).  This applies to some IOS 9.x, 10.x, and 11.x releases.",user
CVE-1999-0160,Entry,Some classic Cisco IOS devices have a vulnerability in the PPP CHAP authentication to establish unauthorized PPP connections.,user
CVE-1999-0161,Entry,"In Cisco IOS 10.3, with the tacacs-ds or tacacs keyword, an extended IP access control list could bypass filtering.",user
CVE-1999-0162,Entry,The "established" keyword in some Cisco IOS software allowed an attacker to bypass filtering.,user
CVE-1999-0164,Entry,A race condition in the Solaris ps command allows an attacker to overwrite critical files.,user
CVE-1999-0166,Entry,NFS allows users to use a "cd .." command to access other directories besides the exported file system.,user
CVE-1999-0167,Entry,"In SunOS, NFS file handles could be guessed, giving unauthorized access to the exported file system.",user
CVE-1999-0168,Entry,"The portmapper may act as a proxy and redirect service requests from an attacker, making the request appear to come from the local host, possibly bypassing authentication that would otherwise have taken place.  For example, NFS file systems could be mounted through the portmapper despite export restrictions.",user
CVE-1999-0170,Entry,"Remote attackers can mount an NFS file system in Ultrix or OSF, even if it is denied on the access list.",user
CVE-1999-0172,Entry,FormMail CGI program allows remote execution of commands.,user
CVE-1999-0173,Entry,FormMail CGI program can be used by web servers other than the host server that the program resides on.,user
CVE-1999-0174,Entry,The view-source CGI program allows remote attackers to read arbitrary files via a .. (dot dot) attack.,user
CVE-1999-0175,Entry,The convert.bas program in the Novell web server allows a remote attackers to read any file on the system that is internally accessible by the web server.,user
CVE-1999-0176,Entry,The Webgais program allows a remote user to execute arbitrary commands.,user
CVE-1999-0177,Entry,The uploader program in the WebSite web server allows a remote attacker to execute arbitrary programs.,user
CVE-1999-0178,Entry,Buffer overflow in the win-c-sample program (win-c-sample.exe) in the WebSite web server 1.1e allows remote attackers to execute arbitrary code via a long query string.,user
CVE-1999-0179,Entry,Windows NT crashes or locks up when a Samba client executes a "cd .." command on a file share.,user
CVE-1999-0180,Entry,in.rshd allows users to login with a NULL username and execute commands.,user
CVE-1999-0181,Entry,"The wall daemon can be used for denial of service, social engineering attacks, or to execute remote commands.",user
CVE-1999-0182,Entry,Samba has a buffer overflow which allows a remote attacker to obtain root access by specifying a long password.,root
CVE-1999-0183,Entry,Linux implementations of TFTP would allow access to files outside the restricted directory.,user
CVE-1999-0184,Entry,"When compiled with the -DALLOW_UPDATES option, bind allows dynamic updates to the DNS server, allowing for malicious modification of DNS records.",user
CVE-1999-0185,Entry,"In SunOS or Solaris, a remote user could connect from an FTP server's data port to an rlogin server on a host that trusts the FTP server, allowing remote command execution.",user
CVE-1999-0188,Entry,The passwd command in Solaris can be subjected to a denial of service.,user
CVE-1999-0189,Entry,"Solaris rpcbind listens on a high numbered UDP port, which may not be filtered since the standard port number is 111.",user
CVE-1999-0190,Entry,Solaris rpcbind can be exploited to overwrite arbitrary files and gain root access.,root
CVE-1999-0191,Entry,IIS newdsn.exe CGI script allows remote users to overwrite files.,user
CVE-1999-0192,Entry,Buffer overflow in telnet daemon tgetent routing allows remote attackers to gain root access via the TERMCAP environmental variable.,root
CVE-1999-0194,Entry,Denial of service in in.comsat allows attackers to generate messages.,user
CVE-1999-0196,Entry,websendmail in Webgais 1.0 allows a remote user to access arbitrary files and execute arbitrary code via the receiver parameter ($VAR_receiver variable).,user
CVE-1999-0201,Entry,A quote cwd command on FTP servers can reveal the full path of the home directory of the "ftp" user.,user
CVE-1999-0202,Entry,"The GNU tar command, when used in FTP sessions, may allow an attacker to execute arbitrary commands.",user
CVE-1999-0203,Entry,"In Sendmail, attackers can gain root privileges via SMTP by specifying an improper ""mail from"" address and an invalid ""rcpt to"" address that would cause the mail to bounce to a program.",root
CVE-1999-0204,Entry,"Sendmail 8.6.9 allows remote attackers to execute root commands, using ident.",root
CVE-1999-0206,Entry,MIME buffer overflow in Sendmail 8.8.0 and 8.8.1 gives root access.,root
CVE-1999-0207,Entry,Remote attacker can execute commands through Majordomo using the Reply-To field and a "lists" command.,user
CVE-1999-0208,Entry,rpc.ypupdated (NIS) allows remote users to execute arbitrary commands.,user
CVE-1999-0209,Entry,The SunView (SunTools) selection_svc facility allows remote users to read files.,user
CVE-1999-0210,Entry,Automount daemon automountd allows local or remote users to gain privileges via shell metacharacters.,user
CVE-1999-0211,Entry,Extra long export lists over 256 characters in some mount daemons allows NFS directories to be mounted by anyone.,user
CVE-1999-0212,Entry,Solaris rpc.mountd generates error messages that allow a remote attacker to determine what files are on the server.,user
CVE-1999-0214,Entry,Denial of service by sending forged ICMP unreachable packets.,user
CVE-1999-0215,Entry,Routed allows attackers to append data to files.,user
CVE-1999-0217,Entry,Malicious option settings in UDP packets could force a reboot in SunOS 4.1.3 systems.,user
CVE-1999-0218,Entry,Livingston portmaster machines could be rebooted via a series of commands.,user
CVE-1999-0219,Entry,Buffer overflow in FTP Serv-U 2.5 allows remote authenticated users to cause a denial of service (crash) via a long (1) CWD or (2) LS (list) command.,user
CVE-1999-0221,Entry,Denial of service of Ascend routers through port 150 (remote administration).,user
CVE-1999-0223,Entry,Solaris syslogd crashes when receiving a message from a host that doesn't have an inverse DNS entry.,user
CVE-1999-0224,Entry,Denial of service in Windows NT messenger service through a long username.,user
CVE-1999-0225,Entry,Windows NT 4.0 allows remote attackers to cause a denial of service via a malformed SMB logon request in which the actual data size does not match the specified size.,user
CVE-1999-0227,Entry,Access violation in LSASS.EXE (LSA/LSARPC) program in Windows NT allows a denial of service.,user
CVE-1999-0228,Entry,Denial of service in RPCSS.EXE program (RPC Locator) in Windows NT.,user
CVE-1999-0230,Entry,Buffer overflow in Cisco 7xx routers through the telnet service.,user
CVE-1999-0233,Entry,IIS 1.0 allows users to execute arbitrary commands using .bat or .cmd files.,user
CVE-1999-0234,Entry,Bash treats any character with a value of 255 as a command separator.,user
CVE-1999-0236,Entry,ScriptAlias directory in NCSA and Apache httpd allowed attackers to read CGI programs.,user
CVE-1999-0237,Entry,Remote execution of arbitrary commands through Guestbook CGI program.,user
CVE-1999-0239,Entry,Netscape FastTrack Web server lists files when a lowercase "get" command is used instead of an uppercase GET.,user
CVE-1999-0244,Entry,Livingston RADIUS code has a buffer overflow which can allow remote execution of commands as root.,root
CVE-1999-0245,Entry,Some configurations of NIS+ in Linux allowed attackers to log in as the user "+".,user
CVE-1999-0247,Entry,Buffer overflow in nnrpd program in INN up to version 1.6 allows remote users to execute arbitrary commands.,user
CVE-1999-0248,Entry,A race condition in the authentication agent mechanism of sshd 1.2.17 allows an attacker to steal another user's credentials.,user
CVE-1999-0251,Entry,Denial of service in talk program allows remote attackers to disrupt a user's display.,user
CVE-1999-0252,Entry,Buffer overflow in listserv allows arbitrary command execution.,user
CVE-1999-0256,Entry,Buffer overflow in War FTP allows remote execution of commands.,user
CVE-1999-0259,Entry,cfingerd lists all users on a system via search.**@target.,user
CVE-1999-0260,Entry,The jj CGI program allows command execution via shell metacharacters.,user
CVE-1999-0262,Entry,Hylafax faxsurvey CGI script on Linux allows remote attackers to execute arbitrary commands via shell metacharacters in the query string.,user
CVE-1999-0263,Entry,Solaris SUNWadmap can be exploited to obtain root access.,root
CVE-1999-0264,Entry,htmlscript CGI program allows remote read access to files.,user
CVE-1999-0265,Entry,ICMP redirect messages may crash or lock up a host.,user
CVE-1999-0266,Entry,The info2www CGI script allows remote file access or remote command execution.,user
CVE-1999-0267,Entry,Buffer overflow in NCSA HTTP daemon v1.3 allows remote command execution.,user
CVE-1999-0268,Entry,"MetaInfo MetaWeb web server allows users to upload, execute, and read scripts.",user
CVE-1999-0269,Entry,Netscape Enterprise servers may list files through the PageServices query.,user
CVE-1999-0270,Entry,Directory traversal vulnerability in pfdispaly.cgi program (sometimes referred to as "pfdisplay") for SGI's Performer API Search Tool (performer_tools) allows remote attackers to read arbitrary files.,user
CVE-1999-0272,Entry,Denial of service in Slmail v2.5 through the POP3 port.,user
CVE-1999-0273,Entry,Denial of service through Solaris 2.5.1 telnet by sending ^D characters.,user
CVE-1999-0274,Entry,Denial of service in Windows NT DNS servers through malicious packet which contains a response to a query that wasn't made.,user
CVE-1999-0275,Entry,Denial of service in Windows NT DNS servers by flooding port 53 with too many characters.,user
CVE-1999-0276,Entry,mSQL v2.0.1 and below allows remote execution through a buffer overflow.,user
CVE-1999-0277,Entry,The WorkMan program can be used to overwrite any file to get root access.,root
CVE-1999-0278,Entry,"In IIS, remote attackers can obtain source code for ASP files by appending ""::$DATA"" to the URL.",user
CVE-1999-0279,Entry,Excite for Web Servers (EWS) allows remote command execution via shell metacharacters.,user
CVE-1999-0280,Entry,Remote command execution in Microsoft Internet Explorer using .lnk and .url files.,user
CVE-1999-0281,Entry,Denial of service in IIS using long URLs.,user
CVE-1999-0288,Entry,"The WINS server in Microsoft Windows NT 4.0 before SP4 allows remote attackers to cause a denial of service (process termination) via invalid UDP frames to port 137 (NETBIOS Name Service), as demonstrated via a flood of random packets.",user
CVE-1999-0289,Entry,The Apache web server for Win32 may provide access to restricted files when a . (dot) is appended to a requested URL.,user
CVE-1999-0290,Entry,The WinGate telnet proxy allows remote attackers to cause a denial of service via a large number of connections to localhost.,user
CVE-1999-0291,Entry,"The WinGate proxy is installed without a password, which allows remote attackers to redirect connections without authentication.",user
CVE-1999-0292,Entry,Denial of service through Winpopup using large user names.,user
CVE-1999-0293,Entry,AAA authentication on Cisco systems allows attackers to execute commands without authorization.,user
CVE-1999-0294,Entry,All records in a WINS database can be deleted through SNMP for a denial of service.,user
CVE-1999-0295,Entry,"Solaris sysdef command allows local users to read kernel memory, potentially leading to root privileges.",root
CVE-1999-0296,Entry,Solaris volrmmount program allows attackers to read any file.,user
CVE-1999-0297,Entry,Buffer overflow in Vixie Cron library up to version 3.0 allows local users to obtain root access via a long environmental variable.,root
CVE-1999-0299,Entry,Buffer overflow in FreeBSD lpd through long DNS hostnames.,user
CVE-1999-0300,Entry,nis_cachemgr for Solaris NIS+ allows attackers to add malicious NIS+ servers.,user
CVE-1999-0301,Entry,Buffer overflow in SunOS/Solaris ps command.,user
CVE-1999-0302,Entry,SunOS/Solaris FTP clients can be forced to execute arbitrary commands from a malicious FTP server.,user
CVE-1999-0303,Entry,Buffer overflow in BNU UUCP daemon (uucpd) through long hostnames.,user
CVE-1999-0304,Entry,mmap function in BSD allows local attackers in the kmem group to modify memory through devices.,user
CVE-1999-0305,Entry,"The system configuration control (sysctl) facility in BSD based operating systems OpenBSD 2.2 and earlier, and FreeBSD 2.2.5 and earlier, does not properly restrict source routed packets even when the (1) dosourceroute or (2) forwarding variables are set, which allows remote attackers to spoof TCP connections.",user
CVE-1999-0308,Entry,HP-UX gwind program allows users to modify arbitrary files.,user
CVE-1999-0309,Entry,HP-UX vgdisplay program gives root access to local users.,root
CVE-1999-0310,Entry,SSH 1.2.25 on HP-UX allows access to new user accounts.,user
CVE-1999-0311,Entry,fpkg2swpk in HP-UX allows local users to gain root access.,root
CVE-1999-0312,Entry,HP ypbind allows attackers with root privileges to modify NIS data.,root
CVE-1999-0313,Entry,disk_bandwidth on SGI IRIX 6.4 S2MP for Origin/Onyx2 allows local users to gain root access using relative pathnames.,root
CVE-1999-0314,Entry,ioconfig on SGI IRIX 6.4 S2MP for Origin/Onyx2 allows local users to gain root access using relative pathnames.,root
CVE-1999-0315,Entry,Buffer overflow in Solaris fdformat command gives root access to local users.,root
CVE-1999-0316,Entry,Buffer overflow in Linux splitvt command gives root access to local users.,root
CVE-1999-0318,Entry,Buffer overflow in xmcd 2.0p12 allows local users to gain access through an environmental variable.,user
CVE-1999-0320,Entry,SunOS rpc.cmsd allows attackers to obtain root access by overwriting arbitrary files.,root
CVE-1999-0321,Entry,Buffer overflow in Solaris kcms_configure command allows local users to gain root access.,root
CVE-1999-0322,Entry,The open() function in FreeBSD allows local attackers to write to arbitrary files.,user
CVE-1999-0323,Entry,FreeBSD mmap function allows users to modify append-only or immutable files.,user
CVE-1999-0324,Entry,ppl program in HP-UX allows local users to create root files through symlinks.,root
CVE-1999-0325,Entry,vhe_u_mnt program in HP-UX allows local users to create root files through symlinks.,root
CVE-1999-0326,Entry,Vulnerability in HP-UX mediainit program.,user
CVE-1999-0327,Entry,SGI syserr program allows local users to corrupt files.,user
CVE-1999-0328,Entry,SGI permissions program allows local users to gain root privileges.,root
CVE-1999-0329,Entry,SGI mediad program allows local users to gain root access.,root
CVE-1999-0332,Entry,Buffer overflow in NetMeeting allows denial of service and remote command execution.,user
CVE-1999-0334,Entry,"In Solaris 2.2 and 2.3, when fsck fails on startup, it allows a local user with physical access to obtain root access.",root
CVE-1999-0335,Entry,** REJECT ** DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: CVE-1999-0032. Reason: This candidate is a duplicate of CVE-1999-0032. Notes: All CVE users should reference CVE-1999-0032 instead of this candidate. All references and descriptions in this candidate have been removed to prevent accidental usage.,user
CVE-1999-0337,Entry,AIX batch queue (bsh) allows local and remote users to gain additional privileges when network printing is enabled.,user
CVE-1999-0338,Entry,AIX Licensed Program Product performance tools allow local users to gain root access.,root
CVE-1999-0339,Entry,"Buffer overflow in the libauth library in Solaris allows local users to gain additional privileges, possibly root access.",root
CVE-1999-0340,Entry,Buffer overflow in Linux Slackware crond program allows local users to gain root access.,root
CVE-1999-0341,Entry,Buffer overflow in the Linux mail program "deliver" allows local users to gain root access.,root
CVE-1999-0342,Entry,Linux PAM modules allow local users to gain root access using temporary files.,root
CVE-1999-0343,Entry,A malicious Palace server can force a client to execute arbitrary programs.,user
CVE-1999-0344,Entry,NT users can gain debug-level access on a system process using the Sechole exploit.,user
CVE-1999-0346,Entry,CGI PHP mlog script allows an attacker to read any file on the target server.,user
CVE-1999-0348,Entry,IIS ASP caching problem releases sensitive information when two virtual servers share the same physical directory.,user
CVE-1999-0349,Entry,"A buffer overflow in the FTP list (ls) command in IIS allows remote attackers to conduct a denial of service and, in some cases, execute arbitrary commands.",user
CVE-1999-0350,Entry,Race condition in the db_loader program in ClearCase gives local users root access by setting SUID bits.,root
CVE-1999-0351,Entry,FTP PASV "Pizza Thief" denial of service and unauthorized data access.  Attackers can steal data by connecting to a port that was intended for use by a client.,user
CVE-1999-0353,Entry,rpc.pcnfsd in HP gives remote root access by changing the permissions on the main printer spool directory.,root
CVE-1999-0355,Entry,"Local or remote users can force ControlIT 4.5 to reboot or force a user to log out, resulting in a denial of service.",user
CVE-1999-0357,Entry,"Windows 98 and other operating systems allows remote attackers to cause a denial of service via crafted ""oshare"" packets, possibly involving invalid fragmentation offsets.",user
CVE-1999-0358,Entry,Digital Unix 4.0 has a buffer overflow in the inc program of the mh package.,user
CVE-1999-0362,Entry,WS_FTP server remote denial of service through cwd command.,user
CVE-1999-0363,Entry,SuSE 5.2 PLP lpc program has a buffer overflow that leads to root compromise.,root
CVE-1999-0365,Entry,The metamail package allows remote command execution using shell metacharacters that are not quoted in a mailcap entry.,user
CVE-1999-0366,Entry,"In some cases, Service Pack 4 for Windows NT 4.0 can allow access to network shares using a blank password, through a problem with a null NT hash value.",user
CVE-1999-0367,Entry,NetBSD netstat command allows local users to access kernel memory.,user
